name,type,gender,country,begin_date,end_date,begin_area_name,begin_area_name_full,begin_area_latlng,area_name,area_name_full,area_latlng
Fatso Jetson,Group,,US,,,,,,United States,,
Dozer,Person,Male,NL,,,,,,Netherlands,,
Hermano,,,,,,,,,,,
Yawning Man,Group,,US,1986,,,,,United States,,
Karma to Burn,Group,,US,1994,,Morgantown,"Morgantown, Monongalia County, West Virginia, United States",,United States,,
Masters of Reality,Group,,US,1981,,,,,United States,,
Sasquatch,Group,,,2010-01-01,,Würzburg,"Würzburg, Bayern, Germany",,Würzburg,,
Orange Goblin,Group,,GB,1995,,London,"London, England, United Kingdom",,United Kingdom,,
Cowboys & Aliens,,,,,,,,,,,
Brant Bjork,Person,Male,US,1973-03-19,,,,,United States,,
Wo Fat,Group,,,2005,,,,,Dallas,,
The Atomic Bitchwax,Group,,US,1993,,Long Branch,"Long Branch, Monmouth County, New Jersey, United States",,United States,,
Truckfighters,Group,,SE,2000,,,,,Sweden,,
Monster Magnet,Group,,US,1989,,Red Bank,"Red Bank, Monmouth County, New Jersey, United States",,United States,,
Days of the New,Group,,US,1995,,,,,United States,,
El Michels Affair,Group,,US,2001,,,,,United States,,
Chicano Batman,,,,,,,,,,,
Van Morrison,Person,Male,,1945-08-31,,Belfast,"Belfast, County Down, Northern Ireland, Ireland",,Northern Ireland,,
Roxy Music,Group,,GB,1971,,London,"London, England, United Kingdom",,United Kingdom,,
